Designator*,Quantity*,Manufacturer Part Number*,Manufacturer,Package/Footprint,Description,Procurement Type,Customer Note
R610,1,RC0100FR-0722RL,YAGEO,01005 (0402 Metric),22/1%,,"22Ω ±1%, 1/32W"
"R801,R802,R803",3,RC0402FR-071KL,YAGEO,0402 (1005 Metric),1K,,"1kΩ ±1%, 1/16W"
"U201,U202",2,LM66100DCKR,Texas Instruments,SC70-6 / SOT-363,LM66100DCK,,Full tape-and-reel orderable MPN.
U301,1,SY8253ADC,Silergy,TSOT-23-6,SY8253-ADC,,VERIFY | Exact device selected from value SY8253-ADC. Note: the Datasheet URL in your KiCad BOM points to a TI LM2734 and is wrong; replace it with the Silergy datasheet.
U401,1,AT24CS04-STUM-T,Microchip Technology,SOT-23-5,AT24CS04-STUM,,OK / MANUAL SOURCE | Valid full orderable MPN. NextPCB auto-matcher previously did not find it; keep exact MPN for manual sourcing.
U402,1,USB2244-AEZG-06,Microchip Technology,"QFN-36, 6x6mm",USB2244-AEZG-06,,OK / MANUAL SOURCE | Valid commercial-temperature MPN. NextPCB auto-matcher previously did not find it; do not invent a suffix.
"U403,U502",2,D3V3XA4B10LP-7,Diodes Incorporated,U-DFN2510-10 (1.0x2.5mm),D3V3XA4B10LP,,Full tape-and-reel MPN.
U501,1,RP2040,Raspberry Pi,"QFN-56, 7x7mm",RP2040,,RP2040 MCU.
U503,1,W25Q128JVSIQ,Winbond,"SOIC-8, 208mil",W25Q128JVS,,Full 12-character orderable MPN corresponding to W25Q128JVS in your BOM.
U601,1,MTFC64GAPALBH-IT,Micron Technology,"BGA-153, 11.5x13mm",MTFC64GAPALBH-IT,,"OBSOLETE | Exact original MPN, but Micron lists this eMMC as obsolete. Use exact part for prototype only if sourcing is acceptable; redesign to a current compatible eMMC for production."
U701,1,TMP119AIYBGR,Texas Instruments,DSBGA-6,TMP119AIYBGR,,Exact original MPN.
"U702,U704",2,INA226AIDGSR,Texas Instruments,"VSSOP-10, 3x3mm, 0.5mm pitch",INA226,,Selected exact VSSOP-10 orderable version matching footprint.
U703,1,ER-OLEDM0.91-1B-I2C,EastRising / BuyDisplay,"0.91in 128x32 OLED module, 4-pin I2C",ER_OLEDM0.91_1x-I2C,,VERIFY | Original value omitted the display color. Selected BLUE (-1B-) variant as an assumption; change to -1W- if white is intended.
Y401,1,SG-210STF 24.0000ML0,Epson,2.5x2.0mm 4-SMD oscillator,SG-210STF,,VERIFY | 24MHz selected because Y401 is the USB2244 reference oscillator and USB2244 uses a 24MHz reference. Confirm schematic net/function before ordering.
Y501,1,ABM8-272-T3,Abracon,3.2x2.5mm 4-SMD crystal,Crystal_GND24,,VERIFY | 12MHz crystal selected for RP2040; your 15pF load-cap network is consistent with ~10pF crystal load. Confirm schematic before ordering.
